评论内容,点赞数,评分,tokens,点赞权值,评分情感,sentiment_prediction_snownlp,sentiment_snownlp,sentiment_prediction_LSTM,sentiment_LSTM
翁老师上课非常厉害，逻辑清晰，举例充足，无数机械念稿课程中的一股清流。即将进入ZJU的学生表示要再上一遍翁老师的课，不知道现场听课会有什么不一样的体验。（然而听说抢课异常艰难。。。）,37,5.0,"['翁', '老师上课', '厉害', '逻辑', '清晰', '举例', '充足', '无数', '机械', '念稿', '中', '一股', '清流', '学生', '一遍', '翁', '课', '现场', '听课', '体验', '听说', '抢课', '异常', '艰难']",7.189613661641061,1,0.9999894748880107,1,"[0.99898761510849, 0.0009940587915480137]",1
翁恺这个名字就意味着高质量！,23,5.0,"['翁恺', '名字', '意味着', '高质量']",5.168118696880717,1,0.5584965183126253,0,"[0.8142062425613403, 0.18854054808616638]",1
很喜欢翁恺老师的课，循循善诱。能感觉到是个可爱的人，横向比较过别人的课，感觉基本功没有翁恺老师的扎实，现在C语言入门和进阶的课已经看完，PTA上的题目只剩链表没有做了。还跟着别的老师学了Python入门，下一步打算争取跟着翁恺再学几门语言，C加加，JAVA，Python。半路出家的，还要去别的地方补计算机组成原理，算法等。长路漫漫，一起加油。,21,5.0,"['喜欢', '翁恺', '课', '循循善诱', '可爱', '横向', '课', '基本功', '翁恺', '扎实', '入门', '进阶', '课', '完', '题目', '剩', '链表', '做', '还跟着', '学了', '入门', '一步', '打算', '跟着', '翁恺', '再学', '几门', '语言', '加加', '半路出家', '地方', '补', '计算机', '原理', '算法', '长路', '漫漫', '加油']",4.863424048065082,1,0.9999999999999389,1,"[0.9924856424331665, 0.0074488455429673195]",1
迄今为止本人发现的最好的C语言中文入门视频,16,5.0,"['迄今为止', '发现', '中文', '入门', '视频']",4.076811931658235,1,0.8873992424100986,1,"[0.9944834113121033, 0.005647751502692699]",1
老师讲的真好，求不下线,15,5.0,"['真', '好', '求', '下线']",3.9144086738916166,1,0.8606865340470502,1,"[0.9643853902816772, 0.03535735607147217]",1
"我是一名大专生，老师对我们上的课很不上心，就是简简单单过一遍内容。我基本靠自学。偶然间刷b站有人推翁恺老师，就一直跟着学了。怎么说，可能我脑子真的不太好使，老师讲的很多内容我都没法第一时间理解透彻。需要重复看几遍，去参阅其他书籍。而且你学的越多，越深奥，再回过头来看，就发现老师讲的越好。
现在我也能自己写一点东西出来了。最重要的是！我觉得上翁恺老师的课学的不仅仅是c语言的知识，更重要的是那种探究性思维。",14,5.0,"['一名', '大专生', '课', '上心', '简简单单', '一遍', '自学', '偶然间', '刷', '站', '有人', '推翁恺', '跟着', '学了', '说', '脑子', '真的', '不太好', '没法', '第一', '时间', '理解', '透彻', '重复', '几遍', '参阅', '书籍', '你学', '越', '越', '深奥', '回过头来', '发现', '越', '好', '写', '一点', '东西', '翁恺', '课学', '语言', '知识', '那种', '探究性', '思维']",3.75,1,0.99999999999997,1,"[0.8194015026092529, 0.1812853366136551]",1
"可能是因为很多年前录的视频，现在顺序改来改去，我感觉学起来有些吃力。
我知道老师平时很忙，但是进阶课程的质量确实赶不上入门课程的。",11,4.0,"['是因为', '很多年', '前录', '视频', '顺序', '改来改去', '学', '吃力', '平时', '忙', '进阶', '质量', '确实', '赶不上', '入门']",3.2428578531278367,1,0.992777042125001,1,"[0.03218810632824898, 0.9695709943771362]",-1
感觉课程连贯性不是很好,11,4.0,"['连贯性', '好']",3.2428578531278367,1,0.9595609035834393,1,"[0.9778302311897278, 0.020727403461933136]",1
"课程体验非常差，连续两次没有课程评分标准。平时作业的占比是真的大：）
客服不走心，不耐烦的回复让人觉得，一个mooc的证书真的是高攀不起。



课的角度
1.整体感受：感觉翁恺老师讲解的还是比较高屋建瓴同时也兼顾了细节，结合C程序的书籍一起学习，让大学时期闭塞脑袋的本人再次邂逅了了C语言，燃起对编程的兴趣！
2.印象最深：最钦佩的事翁老师的教学理念，一直在鼓励引导观者继续前行
3.提一个不成熟的建议，课程内容可以适当精简，提高后台管理水平吗，作为网红课程也要及时打打补丁
再次感谢翁老师。",8,2.0,"['体验', '差', '连续', '两次', '评分标准', '平时', '作业', '占', '真的', '客服', '走心', '不耐烦', '回复', '证书', '真的', '高攀不起', '课', '角度', '整体', '感受', '翁恺', '讲解', '高屋建瓴', '兼顾', '细节', '程序', '书籍', '大学', '时期', '闭塞', '脑袋', '邂逅', '燃起', '编程', '兴趣', '印象', '最深', '钦佩', '事翁', '教学', '理念', '鼓励', '引导', '观者', '前行', '提', '成熟', '建议', '精简', '提高', '后台', '管理水平', '网红', '打补丁', '感谢', '翁']",2.709269960975831,-1,0.9999999999980684,1,"[0.8234552145004272, 0.17907015979290009]",1
非常棒，非常喜欢翁恺老师的风格，尤其是翁恺老师在课上不停的演示代码，非常生动、直观。,5,5.0,"['棒', '喜欢', '翁恺', '风格', '翁恺', '课上', '不停', '演示', '代码', '生动', '直观']",2.137243122648133,1,0.9999964844917045,1,"[0.9969602227210999, 0.003218964906409383]",1
翁老师授课的方式非常的符合我们学生，他能够深入浅出的讲解每一个知识点，通过一些实例来对知识点进行讲解，并且他的授课语言风趣幽默，让我们在一种轻松愉悦的学习氛围下掌握他所教授的知识。,5,5.0,"['翁', '授课', '方式', '符合', '学生', '深入浅出', '讲解', '知识点', '实例', '知识点', '讲解', '授课', '语言', '风趣', '幽默', '一种', '轻松', '愉悦', '氛围', '教授', '知识']",2.137243122648133,1,0.9999999999952671,1,"[0.9911905527114868, 0.009097231552004814]",1
以前就听说翁凯老师讲的特别好，抱着试试看的态度，学习了C语言入门课程，真的厉害，全程手动敲代码，分析的非常透彻，化复杂为简单。不像有的学校就是念PPT。北京理工大学的嵩天老师讲的也不错。入门课程学完了，准备学习进阶课程，然后再学数据结构,3,5.0,"['听说', '翁凯', '特别', '好', '抱', '试试看', '态度', '入门', '真的', '厉害', '全程', '手动', '敲', '代码', '分析', '透彻', '化', '简单', '不像', '学校', '念', '北京理工大学', '嵩天', '不错', '入门', '学完', '进阶', '再学', '数据结构']",1.7227062322935722,1,0.9999999999325255,1,"[0.9928592443466187, 0.007141476962715387]",1
老师什么时候能出c  或者c#视频不,3,5.0,"['能出', '视频']",1.7227062322935722,1,0.5522189510164089,0,"[0.9837779998779297, 0.017164502292871475]",1
本人是翁恺老师忠粉，去年看完了翁恺老师的c语言，讲课方式非常吸引人，每一步都把握的非常好，非常不错，永远滴神。现在在学c  却总是想跟着翁恺老师学，真的希望翁恺老师把c  也讲一遍，哈哈。,2,5.0,"['翁恺', '忠粉', '去年', '完', '翁恺', '语言', '讲课', '方式', '吸引', '一步', '把握', '好', '不错', '永远', '滴神', '学', '想', '跟着', '翁恺', '学', '真的', '希望', '翁恺', '一遍']",1.5,1,0.9999999863443827,1,"[0.9926925897598267, 0.007319576106965542]",1
"    浙大PTA什么机制啊？！我感觉，就是如果想使用，就含蓄地逼着我们支持正版教材咯~~然后，教材后面有一个课程邀请码，刮码获得进入权限？！
    如果真的是这样的话，真的是。我还不如看其他学校的OJ呢！",2,2.0,"['浙大', '机制', '想', '含蓄地', '逼', '支持', '正版', '教材', '咯', '教材', '邀请', '码', '刮码', '权限', '真的', '这样的话', '真的', '学校']",1.5,-1,0.9986744402931034,1,"[0.6180096864700317, 0.3841811418533325]",1
特别特别好，老师的逻辑清楚，讲解细致。,2,5.0,"['特别', '特别', '好', '逻辑', '讲解', '细致']",1.5,1,0.9992536169102776,1,"[0.7705678939819336, 0.2313695102930069]",1
"真的！老师的讲法对一个自学的人来说太重要了，在知道翁恺老师的课程之前是也是在网上自己找网课自学的，当感觉听的似乎弄的C语言很复杂一样，听朋友介绍了翁恺老师的课之后来到翁恺老师的课堂，真的是换了一种感觉，老师的讲解方式对初学者很友好，不像那种教科书一样的教法，另外老师也很幽默！目前遇到讲得最好的线上老师了！！！
",2,5.0,"['真的', '讲法', '自学', '翁恺', '网上', '找', '网课', '自学', '听', '弄', '听', '朋友', '介绍', '翁恺', '课', '来到', '翁恺', '课堂', '真的', '换', '一种', '讲解', '方式', '初学者', '友好', '不像', '那种', '教科书', '教法', '幽默', '讲得', '线']",1.5,1,0.999999999999863,1,"[0.9942278861999512, 0.005734420847147703]",1
建议配合书本和pta刷题，更牢一些,2,5.0,"['建议', '配合', '书本', '刷题', '更牢']",1.5,1,0.7067918346766617,1,"[0.9938493371009827, 0.006366619374603033]",1
我用了两周半的时间把前面程序设计入门补完了，真的用处很大！我学这个课程完全是自学，听老师讲课是完全能听懂的，对我们这些没基础的人来说很受用，感谢,2,5.0,"['我用', '两周', '时间', '程序设计', '入门', '补完', '真的', '用处', '很大', '我学', '自学', '听', '讲课', '听懂', '基础', '受用', '感谢']",1.5,1,0.999968927697117,1,"[0.8759569525718689, 0.12703828513622284]",1
haohao,2,5.0,[],1.5,1,0.5,0,"[0.5032631158828735, 0.5002105236053467]",0
老师讲得很好，思路清晰，简单易懂。还有推荐的软件dev c++也简单实用。,2,5.0,"['讲得', '好', '思路清晰', '简单', '易懂', '推荐', '软件', '简单', '实用']",1.5,1,0.999743434054418,1,"[0.6594053506851196, 0.3408258259296417]",1
"语言形容不出来的棒！
p.s老师的视频贼下饭(≧∇≦)/",2,5.0,"['语言', '形容', '棒', '视频', '贼', '下饭']",1.5,1,0.8124477425267413,1,"[0.6461323499679565, 0.3573077321052551]",1
"计算机专业大三学生前来学习,查缺补漏（女娲补天），希望一步步学习能提升代码能力和思想，感谢翁凯老师",2,5.0,"['计算机专业', '大三', '学生', '前来', '查缺', '补漏', '女娲补天', '希望', '一步步', '提升', '代码', '能力', '思想', '感谢', '翁凯']",1.5,1,0.9999238977650381,1,"[0.9822261333465576, 0.017349859699606895]",1
"( ^_^ )不错嘛
",2,5.0,['不错'],1.5,1,0.9675275641687886,1,"[0.9630715847015381, 0.03503070026636124]",1
建议学计算机把翁恺老师的课列入必读课程,1,5.0,"['建议', '学', '计算机', '翁恺', '课', '列入', '必读']",1.261859507142915,1,0.998295704229559,1,"[0.9810705184936523, 0.01944044791162014]",1
听此圣言，风禾尽起。如斯贤，克明俊德，含章未曜。使我青衿之志，履践致远。,1,5.0,"['听此', '圣言', '风禾尽起', '如斯贤', '克明俊德', '含章', '未曜', '青衿', '之志', '履践', '致远']",1.261859507142915,1,0.7245444033584966,1,"[0.4383372962474823, 0.5652724504470825]",0
有些地方无法理解，可能是本人的问题，但是课程总体是非常优秀的，能接触到如此优秀的课程真的非常幸运,1,4.0,"['地方', '理解', '总体', '优秀', '接触', '优秀', '真的', '幸运']",1.261859507142915,1,0.9999342161383843,1,"[0.03106497973203659, 0.9710041880607605]",-1
老师讲解很细致，在应用中学习，能把基础知识的很多细节领悟清楚，强烈希望老师能够出一期数据结构和算法的课程，哦对还有c加加    拜托啦！！！,1,5.0,"['讲解', '细致', '中', '基础知识', '细节', '领悟', '希望', '一期', '数据结构', '算法', '加加', '拜托']",1.261859507142915,1,0.9999999942130158,1,"[0.9695371389389038, 0.030167844146490097]",1
很好很好喜欢这种平和的循序渐进的教学方式,1,5.0,"['好', '好', '喜欢', '平和', '循序渐进', '教学方式']",1.261859507142915,1,0.999654106939276,1,"[0.9335719347000122, 0.06776340305805206]",1
翁恺老师的课值得一个刚开始学的人第二遍第三遍听，每一次都有不同感觉，收获颇丰，不吹好吧，强烈推荐！,1,5.0,"['翁恺', '课', '值得', '学', '第二遍', '第三遍', '听', '收获', '颇丰', '不吹好', '强烈推荐']",1.261859507142915,1,0.9985410083714763,1,"[0.9903500080108643, 0.009539094753563404]",1
好像妙脆角进了米奇妙妙屋，妙到家了,1,5.0,"['好像', '妙脆', '角进', '米', '奇妙', '妙屋', '妙到', '家']",1.261859507142915,1,0.978638426375396,1,"[0.42113304138183594, 0.5748351216316223]",0
很有教育意义,1,5.0,"['教育', '意义']",1.261859507142915,1,0.9094448319263924,1,"[0.9429417848587036, 0.05621044710278511]",1
"非常有收获，老师辛苦了
",1,5.0,"['收获', '辛苦']",1.261859507142915,1,0.9888919982251281,1,"[0.8708990216255188, 0.13299788534641266]",1
翁恺老师讲的非常好，是我的领门老师,1,5.0,"['翁恺', '好', '领门']",1.261859507142915,1,0.9830504510028716,1,"[0.9903684854507446, 0.009496072307229042]",1
很棒，very good！,1,5.0,['很棒'],1.261859507142915,1,0.8383826153364844,1,"[0.9098045229911804, 0.08938337117433548]",1
翁恺NB！每学一门新语言时都会先去看翁恺的课,1,5.0,"['翁恺', '每学', '一门', '新', '语言', '时', '先', '翁恺', '课']",1.261859507142915,1,0.795891446331357,1,"[0.990598738193512, 0.009266809560358524]",1
图形这块的用途不大，也许可以考虑设为选修。循环讲的有一些啰嗦。其它重要内容循环、函数、数组、指针、预处理指令、结构体，这些可以再细致深入一下。,1,4.0,"['图形', '这块', '用途', '也许', '设', '选修', '循环', '啰嗦', '循环', '函数', '数组', '指针', '预处理', '指令', '结构', '体', '细致']",1.261859507142915,1,0.17901166195036655,-1,"[0.10100587457418442, 0.9059470891952515]",-1
课程很不错 就是现在参与的人有点少 之前的问题没有解决,1,4.0,"['不错', '参与', '少', '解决']",1.261859507142915,1,0.9785778547752062,1,"[0.9617303013801575, 0.038991380482912064]",1
从没有见过一个网课可以做到像翁恺老师这样的程度。翁恺老师就是我学习C语言的引路人，感谢翁恺老师，感谢MOOC！,1,5.0,"['见过', '网课', '翁恺', '程度', '翁恺', '引路人', '感谢', '翁恺', '感谢']",1.261859507142915,1,0.9933585656260437,1,"[0.8291399478912354, 0.1693514883518219]",1
期待(๑>؂<๑）好吃喵！,1,5.0,"['期待', '好吃', '喵']",1.261859507142915,1,0.7493181434646382,1,"[0.9912250638008118, 0.008687423542141914]",1
马上要学完翁老师的入门课了，先把进阶课预定好。翁老师讲的太棒了！超级棒！我最近写程序都入迷了。推荐给好多人了,1,5.0,"['要学', '完翁', '入门', '课', '先', '进阶', '课', '预定', '好', '翁', '太棒了', '超级', '棒', '写', '程序', '入迷', '推荐', '好多']",1.261859507142915,1,0.9999645124966562,1,"[0.7284486889839172, 0.2764948010444641]",1
翁恺！我滴男神！,1,5.0,"['翁恺', '我滴', '男神']",1.261859507142915,1,0.335634991155628,-1,"[0.9950384497642517, 0.005238506011664867]",1
翁恺老师太棒了趴,1,5.0,"['翁恺', '太棒了', '趴']",1.261859507142915,1,0.9283497499553195,1,"[0.9908700585365295, 0.009723405353724957]",1
老师讲的真心太好了,1,5.0,"['真心', '太好了']",1.261859507142915,1,0.9509337019753168,1,"[0.9963096976280212, 0.00338557967916131]",1
超棒的课程，学完c入门来学c进阶，学完再学数据结构，感谢老师,1,5.0,"['超棒', '学完', '入门', '来学', '进阶', '学完', '再学', '数据结构', '感谢']",1.261859507142915,1,0.9999518294737806,1,"[0.9943380951881409, 0.005874874535948038]",1
超赞，老师讲得很好,1,5.0,"['超赞', '讲得', '好']",1.261859507142915,1,0.9976951510808891,1,"[0.9870235919952393, 0.012158374302089214]",1
棒棒的！！！,1,5.0,['棒棒'],1.261859507142915,1,0.9872937499724583,1,"[0.996066153049469, 0.0042708758264780045]",1
让我对C语言有了不一样的认识！,1,5.0,[],1.261859507142915,1,0.13260257848163715,-1,"[0.9640858173370361, 0.03301272541284561]",1
老师讲的很好很清晰,1,5.0,"['好', '清晰']",1.261859507142915,1,0.99612184747621,1,"[0.9007793068885803, 0.099327452480793]",1
"非常好！！
",1,5.0,['好'],1.261859507142915,1,0.43249788906431175,0,"[0.9629517793655396, 0.03875641152262688]",1
学习的好地方！,1,5.0,"['好', '地方']",1.261859507142915,1,0.8729682364020559,1,"[0.8292456865310669, 0.17357118427753448]",1
"cjcjcjcj超级超级好的！！！
翁恺老师真的超级超级赞
",1,5.0,"['超级', '超级', '好', '翁恺', '真的', '超级', '超级', '赞']",1.261859507142915,1,0.7837574128430977,1,"[0.9877475500106812, 0.012235384434461594]",1
nbnbnbnb!,1,5.0,[],1.261859507142915,1,0.5,0,"[0.9665396213531494, 0.03390686213970184]",1
好！好！好！重要的事情说三遍！！！忠实学粉 1，永久学粉 1,1,5.0,"['好', '好', '好', '事情', '说', '三遍', '忠实', '学粉', '永久', '学粉']",1.261859507142915,1,0.7066419484397622,1,"[0.9536252021789551, 0.04493115097284317]",1
翁恺讲解的非常详细，学到的东西很多，希望这个课程可以一直开下去！,1,5.0,"['翁恺', '讲解', '详细', '学到', '东西', '希望', '开']",1.261859507142915,1,0.9897102653121574,1,"[0.9941781759262085, 0.005558785516768694]",1
"讨论区，这里交流太少，老师也鲜有机会来。
但是课程还是一级棒的！~很喜欢。
如果有老师常用的联系方式，就好了。

很多问题困扰的时候，得不到解决，很难受。",1,5.0,"['讨论区', '交流', '少', '鲜有', '机会', '一级', '棒', '喜欢', '常用', '联系方式', '好', '困扰', '得不到', '解决', '难受']",1.261859507142915,1,0.9999937689795073,1,"[0.5442007184028625, 0.45694753527641296]",0
初级现在哪里还有，或者类似的？,1,5.0,"['初级', '类似']",1.261859507142915,1,0.522118367981141,0,"[0.7049385905265808, 0.29531046748161316]",1
有老师带着学比自己看书自学好多了！,1,5.0,"['学比', '看书', '自学', '好多']",1.261859507142915,1,0.9989509647539665,1,"[0.3231354057788849, 0.6846984624862671]",-1
老师很幽默 哈哈,1,5.0,['幽默'],1.261859507142915,1,0.9344090482985277,1,"[0.9948962330818176, 0.005071231164038181]",1
我喜欢翁恺老师的课*^_^*,1,5.0,"['喜欢', '翁恺', '课']",1.261859507142915,1,0.9451477426688254,1,"[0.9901815056800842, 0.010476349852979183]",1
我恺哥最帅,1,5.0,"['我恺哥', '最帅']",1.261859507142915,1,0.7298610412885121,1,"[0.5622875690460205, 0.4402431547641754]",0
老师讲的特别好,1,5.0,"['特别', '好']",1.261859507142915,1,0.9656638263878564,1,"[0.9073892831802368, 0.0924726277589798]",1
学到不少东西  终于学完了  复习两天  要学数据结构了,1,5.0,"['学到', '东西', '终于', '学完', '复习', '两天', '要学', '数据结构']",1.261859507142915,1,0.99883546656087,1,"[0.9290257096290588, 0.07135710120201111]",1
翁老师讲很好，正在一点一点地学习，通俗易懂，内容衔接有条理，感谢翁老师，感谢MOOC这个优秀的学习平台！,1,5.0,"['翁', '好', '一点一点', '通俗易懂', '衔接', '有条理', '感谢', '翁', '感谢', '优秀', '平台']",1.261859507142915,1,0.9999997657014568,1,"[0.989854633808136, 0.010153144598007202]",1
很好，大部分都能听懂,1,5.0,"['好', '大部分', '听懂']",1.261859507142915,1,0.8269597165574011,1,"[0.4293571412563324, 0.5693821310997009]",0
棒！强烈推荐,1,5.0,"['棒', '强烈推荐']",1.261859507142915,1,0.9674918953464656,1,"[0.9346476793289185, 0.06371890753507614]",1
自学C语言的不二之选,1,5.0,"['自学', '不二', '之选']",1.261859507142915,1,0.9665697697155891,1,"[0.9919496774673462, 0.008695344440639019]",1
老师说的非常棒,1,5.0,"['说', '棒']",1.261859507142915,1,0.9863620889241127,1,"[0.9846950173377991, 0.016257843002676964]",1
"很好很好真的挺好的
",1,5.0,"['好', '好', '真的', '好']",1.261859507142915,1,0.9625043743228135,1,"[0.9592557549476624, 0.04087682068347931]",1
翁凯哥哥上的很好，不愧我浙名师啊,1,5.0,"['翁凯', '哥哥', '好', '不愧', '浙', '名师']",1.261859507142915,1,0.999213060976656,1,"[0.9705379605293274, 0.030074328184127808]",1
"深入浅出，通俗易懂。
零基础，从入门课到进阶课快学完了。
学完之后还会深造哒~~~",1,5.0,"['深入浅出', '通俗易懂', '基础', '入门', '课到', '进阶', '课快', '学完', '学完', '还会', '深造', '哒']",1.261859507142915,1,0.9996681948928533,1,"[0.9815911054611206, 0.019324971362948418]",1
"哇，老师讲的超级赞！链表那一块结构的创建受到启发很大，教了我们创建链表的所有思路。我觉得教代码部分最重要的就是思路，这个老师讲的很有条理，虽然我自己琢磨了很久，当想通之后，就会发现讲的超级赞！
非常感谢老师的课程",1,5.0,"['超级', '赞', '链表', '一块', '结构', '创建', '启发', '很大', '教', '创建', '链表', '思路', '教', '代码', '思路', '有条理', '琢磨', '久', '当想通', '发现', '超级', '赞', '非常感谢']",1.261859507142915,1,0.9999999943045468,1,"[0.9882873892784119, 0.011647987179458141]",1
期待分四星！等翁恺老师的这门课真的等的很辛苦，从第五次开课结束一直等到现在。入门课里老师高超的教学水平希望可以同样在这门课里保持,1,4.0,"['期待', '分', '四星', '翁恺', '这门', '课', '真的', '辛苦', '第五次', '开课', '结束', '入门', '课里', '高超', '教学', '水平', '希望', '这门', '课里']",1.261859507142915,1,0.991041005581416,1,"[0.9844043850898743, 0.015072210691869259]",1
老师讲的很好，可惜后面没坚持下来,1,5.0,"['好', '可惜']",1.261859507142915,1,0.9584158232431609,1,"[0.9881693124771118, 0.011596454307436943]",1
翁凯老师讲的通俗易懂，把C语言讲的很透彻。希望翁凯老师能够出更多的CS方面的课程，非常感谢！,1,5.0,"['翁凯', '通俗易懂', '透彻', '希望', '翁凯', '非常感谢']",1.261859507142915,1,0.9998171427927781,1,"[0.9914440512657166, 0.008441447280347347]",1
翁凯老是这门课有些难，很多内容我第一遍是没有听懂的，但是回过头来听又觉得很有味道，结合这指定课本和C premier plus学习就更有味道了。感谢老师提供这么优秀的课程给社会，感谢MOOC这个平台，感谢开源和免费的精神！,1,5.0,"['翁凯', '这门', '课', '难', '第一遍', '听懂', '回过头来', '听', '觉得很有', '味道', '指定', '课本', '味道', '感谢', '提供', '优秀', '社会', '感谢', '平台', '感谢', '开源', '免费', '精神']",1.261859507142915,1,0.9999927546757388,1,"[0.8166049122810364, 0.18435916304588318]",1
老师会把一些想法用代码编出来 不是PPT讲师 很赞,1,5.0,"['想法', '代码', '编出来', '讲师', '很赞']",1.261859507142915,1,0.9992762203290053,1,"[0.9638342261314392, 0.03315773978829384]",1
授课思路很清晰，循序渐进易理解。就是想问一下进阶版的课程没有网络参考资料吗。,0,5.0,"['授课', '思路', '清晰', '循序渐进', '易', '理解', '想', '问', '进阶', '版', '网络', '参考资料']",1.0,1,0.9689362820393322,1,"[0.9751418232917786, 0.02524103969335556]",1
